Accession			Taxon name			ITS1 localization			Sequence description
AB000532			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, strain: IFO 4295.i
AB008414			Aspergillus flavus			ENA			Aspergillus flavus gene for 18S rRNA, 5.8S rRNA and 28S rRNA, partial and complete sequence.i
AB008415			Aspergillus flavus			ENA			Aspergillus flavus gene for 18S rRNA, 5.8S rRNA and 28S rRNA, partial and complete sequence.i
AB008416			Aspergillus flavus			ENA			Aspergillus flavus gene for 18S rRNA, 5.8S rRNA and 28S rRNA, partial and complete sequence.i
AB054052			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, partial and complete sequence.i
AB054052			Aspergillus flavus			HMM			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, partial and complete sequence.i
AB074991			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, strain:OPS247.i
AB074992			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, strain:OPS255.i
AB074993			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, strain:OPS249.i
AB074994			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, strain:BN026-G(OPS431).i
AB369896			Aspergillus flavus			HMM			Aspergillus flavus genes for small subunit rRNA, ITS1, 5.8S rRNA, ITS2 and large subunit rRNA, partial and complete sequence, strain: IFM 54306.i
AB987910			Aspergillus flavus			ENA			Aspergillus flavus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: PW3170, isolate: ISHAM-ITS_ID MITS3555.i
AF027863			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 1957 internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AF078893			Aspergillus flavus			ENA			Aspergillus flavus environmental isolate C8467 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AF078894			Aspergillus flavus			ENA			Aspergillus flavus environmental isolate C1931 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AF138287			Aspergillus flavus			ENA			Aspergillus flavus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AF138287			Aspergillus flavus			HMM			Aspergillus flavus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
AF453890			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 11497 internal transcribed spacer 1, complete sequence.i
AF453891			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 34896 internal transcribed spacer 1, complete sequence.i
AF453892			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 44310 internal transcribed spacer 1, complete sequence.i
